dtype,batch,seq,heads,dim,rows,method,group,order,repeats,kernel_us,logical_io_bytes,logical_GBs,input_working_set_bytes,seed,input_read_only,scale,block_dim,warmup,timer,vector_scale_enabled,kernel_ms
fp16,1,1,1,16,1,scalar_transform,0,0,5,6.99599981308,64,0.0091480848642,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.00699599981308
fp16,1,1,1,16,1,vector_transform,0,1,5,7.73999989033,64,0.00826873396729,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.00773999989033
fp16,1,1,1,16,1,scalar_split,0,2,5,13.1999999285,108,0.00818181822615,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.0131999999285
fp16,1,1,1,16,1,vector_split,0,3,5,14.3959999084,108,0.00750208395991,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.0143959999084
fp16,1,1,1,16,1,scalar_fused,0,4,5,7.48400017619,44,0.00587920884074,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.00748400017619
fp16,1,1,1,16,1,vector_fused,0,5,5,7.89600014687,44,0.00557244163901,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.00789600014687
fp16,1,1,1,16,1,quant_only,0,6,5,6.74400031567,44,0.00652431760683,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.00674400031567
fp16,1,1,1,16,1,vector_transform,1,0,5,7.58799985051,64,0.00843437022415,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.00758799985051
fp16,1,1,1,16,1,scalar_split,1,1,5,12.4600000679,108,0.00866773671036,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.0124600000679
fp16,1,1,1,16,1,vector_split,1,2,5,12.6800000668,108,0.00851735011289,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.0126800000668
fp16,1,1,1,16,1,scalar_fused,1,3,5,7.52800032496,44,0.0058448456563,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.00752800032496
fp16,1,1,1,16,1,vector_fused,1,4,5,7.44799971581,44,0.0059076264338,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.00744799971581
fp16,1,1,1,16,1,quant_only,1,5,5,7.21599981189,44,0.00609756113457,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.00721599981189
fp16,1,1,1,16,1,scalar_transform,1,6,5,7.93600007892,64,0.00806451604884,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.00793600007892
fp16,1,1,1,16,1,scalar_split,2,0,5,13.0879998207,108,0.00825183385387,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.0130879998207
fp16,1,1,1,16,1,vector_split,2,1,5,12.8159999847,108,0.00842696630217,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.0128159999847
fp16,1,1,1,16,1,scalar_fused,2,2,5,7.38399997354,44,0.00595882992385,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.00738399997354
fp16,1,1,1,16,1,vector_fused,2,3,5,7.68399983644,44,0.0057261844009,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.00768399983644
fp16,1,1,1,16,1,quant_only,2,4,5,7.87200033665,44,0.00558943065528,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.00787200033665
fp16,1,1,1,16,1,scalar_transform,2,5,5,7.28000029922,64,0.00879120842988,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.00728000029922
fp16,1,1,1,16,1,vector_transform,2,6,5,6.74000009894,64,0.00949554882203,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.00674000009894
fp16,1,1,1,16,1,vector_split,3,0,5,12.800000608,108,0.00843749959924,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.012800000608
fp16,1,1,1,16,1,scalar_fused,3,1,5,7.15600028634,44,0.00614868617096,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.00715600028634
fp16,1,1,1,16,1,vector_fused,3,2,5,7.704000175,44,0.0057113186657,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.007704000175
fp16,1,1,1,16,1,quant_only,3,3,5,6.33599981666,44,0.00694444464539,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.00633599981666
fp16,1,1,1,16,1,scalar_transform,3,4,5,7.10000023246,64,0.00901408421192,32,2909,true,1,32,3,acl_timeline_event_ms,true,0.00710000023246
